id,cInstr
values_278,2937
values_186,2044
values_702,1136
values_722,1780
values_97,245
values_329,239
values_75,116
values_560,75
values_612,421
values_421,826
values_639,45
values_939,349
values_198,47
values_840,2867
values_415,647
values_405,421
values_100,1689
values_726,253
values_265,2860
values_743,723
values_436,1446
values_583,1220
values_525,97
values_677,61
values_289,33
values_255,867
values_529,1704
values_826,123
values_362,791
values_355,1113
values_506,306
values_315,2401
values_604,1383
values_57,604
values_133,961
values_787,1967
values_799,162
values_765,766
values_887,1089
values_952,143
values_631,1771
values_306,36
values_497,1453
values_821,790
values_618,2274
values_271,1661
values_645,2315
values_985,312
values_400,1375
values_562,2250
values_590,56
values_648,2640
values_325,170
values_883,2470
values_827,53
values_854,2471
values_307,2409
values_88,47
values_958,1581
values_251,938
values_902,209
values_680,1775
values_884,17
values_901,1917
values_354,1871
values_420,104
values_103,1286
values_10,723
values_474,498
values_53,2883
values_8,2502
values_39,1070
values_755,752
values_124,53
values_841,677
values_510,1788
values_989,394
values_706,1579
values_257,364
values_811,943
values_111,265
values_47,863
values_928,17
values_561,1322
values_383,462
values_498,92
values_60,569
values_737,1949
values_624,632
values_973,1110
values_472,1544
values_280,698
values_389,951
values_651,1757
values_642,39
values_668,90
values_551,1386
values_750,781
values_592,662
values_89,1325
values_411,1263
values_620,370
values_357,599
values_247,1430
values_692,306
values_572,565
values_757,1603
values_566,186
values_216,1161
values_951,1437
values_910,1500
values_338,106
values_461,1589
values_730,1212
values_734,1891
values_51,878
values_678,17
values_327,1136
values_473,17
values_453,1228
values_154,1721
values_452,2540
values_221,530
values_323,210
values_844,132
values_673,622
values_427,359
values_933,1642
values_802,2644
values_852,97
values_487,503
values_762,104
values_515,1404
values_479,1215
values_948,104
values_467,726
values_14,124
values_868,1490
values_188,1749
values_489,2483
values_865,1819
values_728,1733
values_996,846
values_277,1886
values_936,210
values_554,158
values_763,33
values_834,845
values_613,1044
values_907,1959
values_825,217
values_308,1827
values_294,854
values_522,2460
values_322,36
values_28,78
values_760,1167
values_559,1994
values_685,1588
values_908,33
values_919,726
values_724,1930
values_947,1000
values_214,594
values_468,295
values_967,247
values_234,171
values_983,1187
values_719,100
values_110,649
values_235,343
values_588,3140
values_185,33
values_732,1031
values_896,2586
values_888,554
values_923,437
values_767,1740
values_179,80
values_195,593
values_148,2454
values_917,317
values_634,191
values_157,651
values_314,688
values_879,409
values_16,164
values_839,707
values_150,72
values_835,2106
values_161,2396
values_34,3074
values_959,329
values_264,622
values_123,843
values_623,1361
values_187,1507
values_575,17
values_466,73
values_621,1978
values_82,51
values_352,1545
values_779,2177
values_946,201
values_756,540
values_502,88
values_641,1281
values_882,2212
values_46,33
values_721,33
values_105,218
values_284,744
values_295,501
values_423,1307
values_544,682
values_384,522
values_206,81
values_817,1618
values_788,36
values_205,740
values_243,97
values_619,2449
values_514,1478
values_703,2300
values_605,1320
values_659,2406
values_929,2965
values_365,649
values_495,2167
values_431,1480
values_482,1264
values_611,303
values_846,1069
values_27,850
values_736,2397
values_815,1485
values_145,774
values_582,45
values_492,2718
values_881,64
values_237,2849
values_409,1930
values_108,2167
values_299,1935
values_20,132
values_485,684
values_303,152
values_425,2637
values_597,1950
values_517,682
values_672,1491
values_340,297
values_339,1399
values_424,2126
values_9,1810
values_587,50
values_417,549
values_116,297
values_475,1737
values_184,36
values_223,665
values_804,91
values_374,394
values_864,900
values_444,1532
values_92,231
values_773,420
values_131,678
values_710,593
values_693,264
values_944,399
values_573,2316
values_712,39
values_718,255
values_3,33
values_805,189
values_98,811
values_304,268
values_897,263
values_153,2925
values_368,53
values_689,602
values_830,33
values_29,1530
values_301,194
values_286,1880
values_580,303
values_593,33
values_80,138
values_416,171
values_305,39
values_142,448
values_800,194
values_661,1233
values_73,490
values_297,108
values_167,369
values_594,998
values_367,83
values_552,1363
values_608,1634
values_797,447
values_288,402
values_764,2901
values_622,1974
values_785,239
values_676,36
values_330,72
values_595,1657
values_968,2492
values_503,1989
values_378,733
values_610,55
