id,clockCycles,assemblyInstr
values_46,2519,1906
values_721,546,409
values_105,546,409
values_284,3242,2455
values_295,7232,5488
values_423,14283,10852
values_544,7232,5488
values_384,2519,1906
values_206,18094,13753
values_817,3965,3004
values_788,16202,12313
values_205,17148,13033
values_243,19013,14452
values_619,2519,1906
values_514,16202,12313
values_703,5536,4198
values_605,13310,10111
values_659,6384,4843
values_929,18094,13753
values_365,2519,1906
values_495,21878,16633
values_431,12337,9370
values_482,6384,4843
values_611,13310,10111
values_846,16202,12313
values_27,546,409
values_736,16202,12313
values_815,3242,2455
values_145,4661,3532
values_582,21878,16633
values_492,12337,9370
values_881,12337,9370
values_237,21878,16633
values_409,10543,8005
values_108,22797,17332
values_299,4661,3532
values_20,19986,15193
values_485,3965,3004
values_303,21878,16633
values_425,15229,11572
values_597,13310,10111
values_517,21878,16633
values_672,3965,3004
values_340,12337,9370
values_339,18094,13753
values_424,3965,3004
values_9,7232,5488
values_587,19986,15193
values_417,2519,1906
values_116,9722,7381
values_475,2519,1906
values_184,22797,17332
values_223,20932,15913
values_804,13310,10111
values_374,22797,17332
values_864,9722,7381
values_444,3965,3004
values_92,22797,17332
values_773,1769,1336
values_131,22797,17332
values_710,1769,1336
values_693,3965,3004
values_944,5536,4198
values_573,5536,4198
values_712,12337,9370
values_718,12337,9370
values_3,6384,4843
values_805,10543,8005
values_98,18094,13753
values_304,20932,15913
values_897,1171,883
values_153,16202,12313
values_368,1171,883
values_689,2519,1906
values_830,21878,16633
values_29,4661,3532
values_301,22797,17332
values_286,12337,9370
values_580,14283,10852
values_593,2519,1906
values_80,13310,10111
values_416,21878,16633
values_305,19986,15193
values_142,21878,16633
values_800,13310,10111
values_661,9722,7381
values_73,4661,3532
values_297,12337,9370
values_167,11337,8608
values_594,4661,3532
values_367,19986,15193
values_552,19986,15193
values_608,8053,6112
values_797,19013,14452
values_288,4661,3532
values_764,21878,16633
values_622,15229,11572
values_785,12337,9370
values_676,6384,4843
values_330,546,409
values_595,3242,2455
values_968,4661,3532
values_503,1769,1336
values_378,1769,1336
values_610,1769,1336
