feature	ExtraTreesRegressor	GradientBoostingRegressor	AdaBoostRegressor	RandomForestRegressor	sum	avg
V_VAL_20	2.6621298525259483e-05	5.447407695436096e-05	0.0	2.390299566893384e-06	8.348567504651382e-05	2.0871418761628456e-05
V_VAL_21	1.4625840484244096e-06	0.0	0.0	6.6194633135389134e-09	1.4692035117379484e-06	3.673008779344871e-07
V_VAL_22	2.9320920168836306e-07	0.0	0.0	1.0935857207033985e-08	3.0414505889539705e-07	7.603626472384926e-08
V_VAL_23	5.246759567039982e-07	0.0	0.0	1.1448056971249509e-08	5.361240136752477e-07	1.3403100341881192e-07
V_VAL_24	9.80789862723251e-07	0.0	0.0	3.6363795712766914e-07	1.3444278198509202e-06	3.3610695496273005e-07
V_VAL_25	1.462763850456322e-07	0.0	0.0	3.986081926619358e-08	1.8613720431182578e-07	4.6534301077956444e-08
V_VAL_26	1.2409513388741641e-07	0.0	0.0	1.1012601550263335e-06	1.2253552889137499e-06	3.0633882222843747e-07
V_VAL_27	1.028745677680657e-07	0.0	0.0	1.89724000475509e-07	2.925985682435747e-07	7.314964206089368e-08
V_VAL_28	5.4135488784245404e-08	1.0370520548656641e-07	0.0	5.082140694712233e-08	2.0866210121793413e-07	5.216552530448353e-08
M_VAL_1	0.008097386771308293	4.635896818245656e-05	0.0	0.00013247968553315261	0.008276225425023901	0.0020690563562559753
M_VAL_2	0.03798067128710009	0.0013533474453065826	0.0	6.176300936416229e-05	0.03939578174177083	0.009848945435442708
M_VAL_3	8.509560405179469e-05	1.0979422599635898e-05	0.0	2.28769745536049e-05	0.0001189520012050355	2.9738000301258874e-05
M_VAL_4	4.782885912330695e-05	2.393930541122808e-05	0.0	3.15349129053536e-05	0.00010330307743988863	2.5825769359972158e-05
M_VAL_5	0.00013584682634493956	3.016457590997683e-05	0.0	6.148044498066599e-05	0.00022749184723558238	5.6872961808895596e-05
M_VAL_6	0.06599826911184838	3.316687189417076e-05	0.0	4.2188422554750945e-05	0.0660736244062973	0.016518406101574325
M_VAL_7	5.110946431377347e-06	4.191389186843651e-07	0.0	1.6684810418742938e-07	5.696933454249142e-06	1.4242333635622855e-06
M_VAL_8	6.546718038608687e-05	1.7182064561825293e-05	0.0	1.532664438843036e-05	9.797588933634253e-05	2.4493972334085634e-05
M_VAL_9	0.02381127313487692	0.025325680861215234	0.043303452210887744	0.03785845457284386	0.13029886077982375	0.03257471519495594
