id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max 
total of function:bubble_sort---feature:M_VAL_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:bubble_sort---feature:M_VAL_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:bubble_sort---feature:M_VAL_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:bubble_sort---feature:M_VAL_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:Total_Operands,259.849,256.0,264.0,968.4241989999956,31.119514761641057,264.0,49.0,257.0,264.0,271.0,277.0,277.0
total of function:insertionsort---feature:DistinctOperands,135.092,127.0,137.0,331.7575359999977,18.21421247268181,137.0,17.0,131.0,137.0,143.0,150.0,152.0
total of function:insertionsort---feature:ProgramLength,695.443,673.0,704.0,5579.2227509999975,74.69419489491803,704.0,191.0,687.0,704.0,722.0,740.0,743.0
total of function:insertionsort---feature:VocabularySize,185.552,178.0,188.0,473.58529599999935,21.762014980235616,188.0,41.0,182.0,188.0,194.0,201.0,203.0
total of function:insertionsort---feature:ProgramVolume,5248.392109999997,5025.7,5321.085,398561.07046564814,631.3169334539097,5321.085,1023.29,5159.38,5321.085,5494.74,5651.1225,5684.73
total of function:insertionsort---feature:Effort,256902.2518400001,255293.52,260550.03,1020561447.2741355,31946.227434145265,260550.03,35393.88,257531.65,260550.03,264573.26,271934.3447,274861.32
total of function:insertionsort---feature:ProgramLevel,0.02019999999999966,0.02,0.02,1.9599999999999008e-06,0.0013999999999999646,0.02,0.02,0.02,0.02,0.02,0.03,0.03
total of function:insertionsort---feature:ProgramLevel.1,0.02019999999999966,0.02,0.02,1.9599999999999008e-06,0.0013999999999999646,0.02,0.02,0.02,0.02,0.02,0.03,0.03
total of function:insertionsort---feature:DifficultyLevel,48.751320000000064,50.8,48.95,5.198909457600018,2.280111720420738,48.95,34.59,48.15,48.95,49.84,51.0,51.2
total of function:insertionsort---feature:TimeToImplement,14272.347529999985,14182.97,14475.0,3149879.42103158,1774.789965328737,14475.0,1966.33,14307.3125,14475.0,14698.51,15107.4658,15270.07
total of function:insertionsort---feature:BugsDelivered,1.749464036666662,1.6752333333333334,1.773695,0.04428456338507219,0.21043897781797027,1.773695,0.3410966666666666,1.7197933333333335,1.773695,1.83158,1.8837074999999999,1.89491
total of function:insertionsort---feature:Sloc,22.1,22.0,22.0,0.48999999999999083,0.6999999999999934,22.0,22.0,22.0,22.0,22.0,27.0,27.0
total of function:insertionsort---feature:DecisionPoint,3.06,3.0,3.0,0.1764000000000056,0.4200000000000067,3.0,3.0,3.0,3.0,3.0,6.0,6.0
total of function:insertionsort---feature:GlobalVariables,1.02,1.0,1.0,0.019599999999999083,0.13999999999999674,1.0,1.0,1.0,1.0,1.0,2.0,2.0
total of function:insertionsort---feature:If,3.06,3.0,3.0,0.1764000000000056,0.4200000000000067,3.0,3.0,3.0,3.0,3.0,6.0,6.0
total of function:insertionsort---feature:Loop,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:insertionsort---feature:Goto,0.02,0.0,0.0,0.019599999999999083,0.13999999999999674,0.0,0.0,0.0,0.0,0.0,1.0,1.0
total of function:insertionsort---feature:Assignment,9.02,9.0,9.0,0.01959999999999909,0.13999999999999674,9.0,9.0,9.0,9.0,9.0,10.0,10.0
total of function:insertionsort---feature:ExitPoint,2.02,2.0,2.0,0.019599999999999083,0.13999999999999674,2.0,2.0,2.0,2.0,2.0,3.0,3.0
total of function:insertionsort---feature:Function,2.02,2.0,2.0,0.019599999999999083,0.13999999999999674,2.0,2.0,2.0,2.0,2.0,3.0,3.0
total of function:insertionsort---feature:FunctionCall,1.02,1.0,1.0,0.019599999999999083,0.13999999999999674,1.0,1.0,1.0,1.0,1.0,2.0,2.0
total of function:insertionsort---feature:PointerDereferencing,4.9,5.0,5.0,0.489999999999991,0.6999999999999935,5.0,0.0,5.0,5.0,5.0,5.0,5.0
total of function:insertionsort---feature:CyclomaticComplexity,5.08,5.0,5.0,0.31359999999998533,0.559999999999987,5.0,5.0,5.0,5.0,5.0,9.0,9.0
total of function:insertionsort---feature:SCALAR_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:RANGE_SCALAR_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:SCALAR_INDEX_INPUT,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:insertionsort---feature:RANGE_SCALAR_INDEX_VALUES,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:insertionsort---feature:ARRAY_INPUT,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:insertionsort---feature:RANGE_ARRAY_INPUT,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:insertionsort---feature:cInstr,254.917,75,173.5,47733.71211100002,218.48046162300193,173.5,14,71.0,173.5,422.0,771.01,921
total of function:insertionsort---feature:assemblyInstr,1711.0,1642.0,1703.0,85091.906,291.7051696490825,1703.0,1368.0,1620.0,1703.0,1769.0,2181.079999999998,6607.0
total of function:insertionsort---feature:clockCycles,4638.048,4667.0,4619.0,259327.95169600012,509.2425273835642,4619.0,4136.0,4498.0,4619.0,4715.5,5318.169999999997,13298.0
total of function:insertionsort---feature:text,11696.0,11696.0,11696.0,0.0,0.0,11696.0,11696.0,11696.0,11696.0,11696.0,11696.0,11696.0
total of function:insertionsort---feature:data,162.76,160.0,160.0,69.24640000000014,8.32144218269887,160.0,152.0,152.0,160.0,168.0,176.0,176.0
total of function:insertionsort---feature:bss,368.0,368.0,368.0,0.0,0.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0
total of function:insertionsort---feature:CC4CS,51.89126931873712,64.55072463768116,26.31321414168571,4128.847309433863,64.25610717615768,26.31321414168571,5.187839305103148,11.006466524264066,26.31321414168571,64.67391304347825,323.58071428571424,348.57142857142856
total of function:insertionsort---feature:SS_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:SV_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:V_VAL_1,-2.325,-36.0,0.0,5256.101375000019,72.49897499275434,0.0,-126.0,-66.25,0.0,57.0,124.0,125.0
total of function:insertionsort---feature:V_VAL_2,0.823,61.0,1.0,5335.095670999994,73.04173923860243,1.0,-126.0,-60.25,1.0,65.0,123.00999999999999,126.0
total of function:insertionsort---feature:V_VAL_3,1.378,0.0,0.0,5067.165115999999,71.18402289840044,0.0,-126.0,-57.0,0.0,62.25,123.0,126.0
total of function:insertionsort---feature:V_VAL_4,2.398,0.0,0.0,4965.491596000009,70.4662443727492,0.0,-126.0,-54.25,0.0,60.0,124.0,126.0
total of function:insertionsort---feature:V_VAL_5,-1.162,0.0,0.0,4727.6297560000085,68.75776142371134,0.0,-126.0,-55.0,0.0,51.25,123.0,126.0
total of function:insertionsort---feature:V_VAL_6,-0.048,0.0,0.0,4603.333695999992,67.84787171312003,0.0,-126.0,-51.25,0.0,51.0,124.0,126.0
total of function:insertionsort---feature:V_VAL_7,7.035,0.0,0.0,4354.7417749999995,65.99046730399778,0.0,-125.0,-40.25,0.0,62.0,123.0,126.0
total of function:insertionsort---feature:V_VAL_8,0.659,0.0,0.0,3992.552718999989,63.18664984789104,0.0,-126.0,-43.0,0.0,42.25,123.00999999999999,126.0
total of function:insertionsort---feature:V_VAL_9,2.199,0.0,0.0,4098.883399000023,64.02252259166319,0.0,-126.0,-37.0,0.0,48.0,122.0,126.0
total of function:insertionsort---feature:V_VAL_10,-1.508,0.0,0.0,3793.03793600003,61.58764434527457,0.0,-126.0,-41.0,0.0,35.0,121.02999999999997,126.0
total of function:insertionsort---feature:V_VAL_11,3.536,0.0,0.0,3514.038703999986,59.279327796458574,0.0,-126.0,-22.25,0.0,34.0,124.00999999999999,126.0
total of function:insertionsort---feature:V_VAL_12,0.77,0.0,0.0,3370.683100000012,58.0575843452,0.0,-126.0,-23.0,0.0,32.0,122.0,126.0
total of function:insertionsort---feature:V_VAL_13,-1.799,0.0,0.0,3015.382599000015,54.91249947871627,0.0,-125.0,-23.0,0.0,12.5,121.0,126.0
total of function:insertionsort---feature:V_VAL_14,-0.984,0.0,0.0,3143.55574399999,56.06742141386556,0.0,-126.0,-8.25,0.0,10.0,120.0,126.0
total of function:insertionsort---feature:V_VAL_15,-0.557,0.0,0.0,2913.058750999987,53.97275934209763,0.0,-126.0,-5.0,0.0,3.0,122.0,126.0
total of function:insertionsort---feature:V_VAL_16,-0.2,0.0,0.0,2605.3940000000134,51.04306025308449,0.0,-126.0,0.0,0.0,0.0,121.00999999999999,126.0
total of function:insertionsort---feature:V_VAL_17,0.322,0.0,0.0,2632.806316000017,51.310879119344825,0.0,-126.0,0.0,0.0,0.0,121.0,126.0
total of function:insertionsort---feature:V_VAL_18,-0.6,0.0,0.0,2154.232000000028,46.413704872591545,0.0,-126.0,0.0,0.0,0.0,120.0,126.0
total of function:insertionsort---feature:V_VAL_19,0.955,0.0,0.0,1945.2209749999859,44.10465933436042,0.0,-126.0,0.0,0.0,0.0,118.0,126.0
total of function:insertionsort---feature:V_VAL_20,1.041,0.0,0.0,1873.5833189999896,43.284908674964186,0.0,-126.0,0.0,0.0,0.0,122.0,126.0
total of function:insertionsort---feature:V_VAL_21,-1.586,0.0,0.0,1508.990603999977,38.84572825935919,0.0,-126.0,0.0,0.0,0.0,118.00999999999999,126.0
total of function:insertionsort---feature:V_VAL_22,0.614,0.0,0.0,1306.4690039999978,36.145110374710406,0.0,-126.0,0.0,0.0,0.0,117.00999999999999,126.0
total of function:insertionsort---feature:V_VAL_23,0.41,0.0,0.0,1295.1958999999872,35.98883021160854,0.0,-126.0,0.0,0.0,0.0,115.00999999999999,125.0
total of function:insertionsort---feature:V_VAL_24,0.811,0.0,0.0,1239.2292790000138,35.202688519486884,0.0,-126.0,0.0,0.0,0.0,117.00999999999999,126.0
total of function:insertionsort---feature:V_VAL_25,-0.862,0.0,0.0,819.4149560000027,28.625424992478326,0.0,-126.0,0.0,0.0,0.0,103.0,125.0
total of function:insertionsort---feature:V_VAL_26,-0.454,0.0,0.0,659.3058839999968,25.676952389253614,0.0,-123.0,0.0,0.0,0.0,101.0,121.0
total of function:insertionsort---feature:V_VAL_27,-0.174,0.0,0.0,436.61372399999294,20.895303874315704,0.0,-123.0,0.0,0.0,0.0,99.03999999999996,122.0
total of function:insertionsort---feature:V_VAL_28,-0.038,0.0,0.0,231.438555999996,15.213104745580239,0.0,-124.0,0.0,0.0,0.0,64.03999999999996,124.0
total of function:insertionsort---feature:M_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:insertionsort---feature:M_VAL_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:Total_Operands,67.994,69.0,67.0,99.72396399999964,9.986188662347594,67.0,54.0,61.0,67.0,74.0,113.02999999999997,126.0
total of function:selectionsort---feature:DistinctOperands,29.035,28.0,29.0,47.63777499999993,6.902012387702584,29.0,16.0,23.0,29.0,35.0,42.0,50.0
total of function:selectionsort---feature:ProgramLength,236.883,240.0,235.0,604.171310999999,24.579896480660757,235.0,201.0,218.0,235.0,252.0,345.06999999999994,377.0
total of function:selectionsort---feature:VocabularySize,55.175,54.0,55.0,51.76637499999977,7.194885336125918,55.0,42.0,49.0,55.0,61.0,74.00999999999999,83.0
total of function:selectionsort---feature:ProgramVolume,1371.9624299999987,1096.11,1364.4,34990.24898359509,187.0568068357714,1364.4,1089.25,1227.6975,1364.4,1488.56,2142.7628,2403.39
total of function:selectionsort---feature:Effort,42919.421229999876,45262.71,41547.68,69659683.41529405,8346.237680254142,41547.68,38223.77,40578.207500000004,41547.68,42895.1475,97959.942,113360.54
total of function:selectionsort---feature:ProgramLevel,0.03275000000000007,0.03,0.03,3.113749999999945e-05,0.0055800985654376615,0.03,0.02,0.03,0.03,0.04,0.04,0.04
total of function:selectionsort---feature:ProgramLevel.1,0.03275000000000007,0.03,0.03,3.113749999999945e-05,0.0055800985654376615,0.03,0.02,0.03,0.03,0.04,0.04,0.04
total of function:selectionsort---feature:DifficultyLevel,31.555250000000104,39.72,30.18,23.749572937499927,4.873353356519505,30.18,24.19,27.955,30.18,33.91,45.57,60.11
total of function:selectionsort---feature:TimeToImplement,2384.4121400000035,2514.59,2308.2,214998.9978908204,463.6798441714071,2308.2,2123.54,2254.3425,2308.2,2383.0600000000004,5442.2218,6297.81
total of function:selectionsort---feature:BugsDelivered,0.4573208099999998,0.36537,0.4548,0.003887805442621677,0.06235226894525713,0.4548,0.3630833333333333,0.40923249999999994,0.4548,0.49618666666666666,0.7142542666666666,0.80113
total of function:selectionsort---feature:Sloc,22.68,22.0,22.0,22.657600000000336,4.760000000000035,22.0,22.0,22.0,22.0,22.0,56.0,56.0
total of function:selectionsort---feature:DecisionPoint,3.04,3.0,3.0,0.07839999999999633,0.2799999999999935,3.0,3.0,3.0,3.0,3.0,5.0,5.0
total of function:selectionsort---feature:GlobalVariables,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:selectionsort---feature:If,3.04,3.0,3.0,0.07839999999999633,0.2799999999999935,3.0,3.0,3.0,3.0,3.0,5.0,5.0
total of function:selectionsort---feature:Loop,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:selectionsort---feature:Goto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:Assignment,11.34,11.0,11.0,5.664400000000084,2.3800000000000177,11.0,11.0,11.0,11.0,11.0,28.0,28.0
total of function:selectionsort---feature:ExitPoint,2.06,2.0,2.0,0.1764000000000056,0.4200000000000067,2.0,2.0,2.0,2.0,2.0,5.0,5.0
total of function:selectionsort---feature:Function,2.06,2.0,2.0,0.1764000000000056,0.4200000000000067,2.0,2.0,2.0,2.0,2.0,5.0,5.0
total of function:selectionsort---feature:FunctionCall,1.08,1.0,1.0,0.31359999999998533,0.559999999999987,1.0,1.0,1.0,1.0,1.0,5.0,5.0
total of function:selectionsort---feature:PointerDereferencing,5.88,6.0,6.0,0.7056000000000224,0.8400000000000134,6.0,0.0,6.0,6.0,6.0,6.0,6.0
total of function:selectionsort---feature:CyclomaticComplexity,5.1,5.0,5.0,0.489999999999991,0.6999999999999935,5.0,5.0,5.0,5.0,5.0,10.0,10.0
total of function:selectionsort---feature:SCALAR_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:RANGE_SCALAR_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:SCALAR_INDEX_INPUT,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:selectionsort---feature:RANGE_SCALAR_INDEX_VALUES,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:selectionsort---feature:ARRAY_INPUT,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:selectionsort---feature:RANGE_ARRAY_INPUT,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:selectionsort---feature:cInstr,398.093,29,328.0,86458.00035100001,294.0374131824044,328.0,17,139.0,328.0,635.25,989.03,1222
total of function:selectionsort---feature:assemblyInstr,5400.604,1481.0,4979.5,7559218.315183991,2749.4032652893957,4979.5,1481.0,3085.5,4979.5,7549.25,11441.289999999999,12901.0
total of function:selectionsort---feature:clockCycles,9999.017,4626.0,9452.5,13586442.456711,3685.9791720397716,9452.5,4626.0,6913.0,9452.5,12896.0,18041.789999999997,19980.0
total of function:selectionsort---feature:text,11760.0,11760.0,11760.0,0.0,0.0,11760.0,11760.0,11760.0,11760.0,11760.0,11760.0,11760.0
total of function:selectionsort---feature:data,162.76,160.0,160.0,66.43040000000023,8.15048464816665,160.0,152.0,152.0,160.0,168.0,176.0,176.0
total of function:selectionsort---feature:bss,368.0,368.0,368.0,0.0,0.0,368.0,368.0,368.0,368.0,368.0,368.0,368.0
total of function:selectionsort---feature:CC4CS,74.16678032122181,183.2142857142857,28.549667074330753,15347.36242422266,123.88447208679004,28.549667074330753,4.303255813953489,15.115199516324061,28.549667074330753,72.0316212919978,595.3469327731088,1028.4117647058824
total of function:selectionsort---feature:SS_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:SV_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:V_VAL_1,-4.009,-92.0,-9.0,5798.198918999996,76.14590546444369,-9.0,-126.0,-77.0,-9.0,66.0,125.0,126.0
total of function:selectionsort---feature:V_VAL_2,0.774,12.0,1.0,5198.612924,72.1014072262116,1.0,-126.0,-60.0,1.0,62.0,123.0,126.0
total of function:selectionsort---feature:V_VAL_3,0.435,0.0,0.0,4931.583775,70.22523602665925,0.0,-126.0,-59.0,0.0,57.0,124.0,126.0
total of function:selectionsort---feature:V_VAL_4,1.63,0.0,0.0,5047.865099999992,71.04832932588909,0.0,-126.0,-58.0,0.0,64.0,122.0,126.0
total of function:selectionsort---feature:V_VAL_5,-1.327,0.0,0.0,4795.224071000002,69.2475564262018,0.0,-126.0,-57.0,0.0,51.25,122.0,126.0
total of function:selectionsort---feature:V_VAL_6,-2.265,0.0,0.0,4551.2887749999945,67.46324017566896,0.0,-126.0,-59.0,0.0,49.0,124.0,126.0
total of function:selectionsort---feature:V_VAL_7,-2.985,0.0,0.0,4486.508775000022,66.98140618858358,0.0,-126.0,-56.0,0.0,45.25,123.0,126.0
total of function:selectionsort---feature:V_VAL_8,0.34,0.0,0.0,4460.054400000003,66.78363871488287,0.0,-126.0,-47.0,0.0,47.25,122.00999999999999,126.0
total of function:selectionsort---feature:V_VAL_9,1.72,0.0,0.0,3634.681599999978,60.28832059362724,0.0,-126.0,-36.0,0.0,43.0,123.00999999999999,126.0
total of function:selectionsort---feature:V_VAL_10,0.179,0.0,0.0,3708.702959000021,60.8991211677149,0.0,-126.0,-34.25,0.0,35.25,121.0,126.0
total of function:selectionsort---feature:V_VAL_11,-0.544,0.0,0.0,3613.3100640000175,60.11081486721019,0.0,-126.0,-31.0,0.0,32.0,122.0,126.0
total of function:selectionsort---feature:V_VAL_12,1.022,0.0,0.0,3491.8075160000226,59.09151813923909,0.0,-126.0,-31.0,0.0,32.0,123.0,126.0
total of function:selectionsort---feature:V_VAL_13,0.225,0.0,0.0,3198.044375000013,56.55125440695382,0.0,-126.0,-20.0,0.0,18.0,121.0,126.0
total of function:selectionsort---feature:V_VAL_14,1.552,0.0,0.0,3499.7712960000144,59.158864897832636,0.0,-126.0,-10.25,0.0,27.0,122.0,126.0
total of function:selectionsort---feature:V_VAL_15,-2.216,0.0,0.0,2848.935344000008,53.37541891170512,0.0,-125.0,-12.25,0.0,2.25,122.00999999999999,126.0
total of function:selectionsort---feature:V_VAL_16,-0.387,0.0,0.0,2504.245230999978,50.04243430329882,0.0,-126.0,0.0,0.0,0.0,121.00999999999999,126.0
total of function:selectionsort---feature:V_VAL_17,-0.255,0.0,0.0,2449.9419749999693,49.49688853857351,0.0,-126.0,0.0,0.0,0.0,122.00999999999999,126.0
total of function:selectionsort---feature:V_VAL_18,-1.475,0.0,0.0,1913.5853749999792,43.74454680300139,0.0,-126.0,0.0,0.0,0.0,118.0,126.0
total of function:selectionsort---feature:V_VAL_19,0.407,0.0,0.0,1746.3593510000176,41.78946459336393,0.0,-126.0,0.0,0.0,0.0,121.0,126.0
total of function:selectionsort---feature:V_VAL_20,-2.729,0.0,0.0,1623.3235590000136,40.29048968429167,0.0,-124.0,0.0,0.0,0.0,118.00999999999999,124.0
total of function:selectionsort---feature:V_VAL_21,0.526,0.0,0.0,1578.0973240000226,39.72527311422821,0.0,-126.0,0.0,0.0,0.0,120.00999999999999,126.0
total of function:selectionsort---feature:V_VAL_22,-1.645,0.0,0.0,1454.8569749999833,38.1425874187893,0.0,-126.0,0.0,0.0,0.0,116.00999999999999,124.0
total of function:selectionsort---feature:V_VAL_23,-0.854,0.0,0.0,1118.9546839999998,33.45078002080071,0.0,-124.0,0.0,0.0,0.0,114.0,126.0
total of function:selectionsort---feature:V_VAL_24,0.457,0.0,0.0,910.2881510000154,30.17098193629129,0.0,-125.0,0.0,0.0,0.0,108.01999999999998,124.0
total of function:selectionsort---feature:V_VAL_25,0.516,0.0,0.0,923.4277440000086,30.38795392914779,0.0,-125.0,0.0,0.0,0.0,109.02999999999997,126.0
total of function:selectionsort---feature:V_VAL_26,-0.245,0.0,0.0,548.0449750000089,23.410360420121876,0.0,-125.0,0.0,0.0,0.0,99.00999999999999,126.0
total of function:selectionsort---feature:V_VAL_27,0.13,0.0,0.0,383.1670999999925,19.574654530795492,0.0,-126.0,0.0,0.0,0.0,93.01999999999998,126.0
total of function:selectionsort---feature:V_VAL_28,-0.619,0.0,0.0,199.31383900000336,14.117855325792348,0.0,-126.0,0.0,0.0,0.0,24.139999999999873,121.0
total of function:selectionsort---feature:M_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:selectionsort---feature:M_VAL_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
